loss_type,professor_last5_label,runs,unique_seeds,best_eer_min,best_eer_mean,best_eer_std,best_eer_median,best_eer_max
subcenter_cosface,on,3,3,0.014366407882179974,0.01620952081830707,0.0018073637522723334,0.01628327733264412,0.017978877240097113
subcenter_arcface,on,3,3,0.016133192334476805,0.01732996095929458,0.0019443353311947352,0.01628327733264412,0.019573413210762815
triplet,on,3,3,0.014366407882179974,0.024547085255006835,0.009883759171065397,0.025170428136135948,0.034104419746704584
circle,on,3,3,0.030557633282608125,0.038959539419725915,0.007481718660494273,0.04141920157000466,0.04490178340656498
contrastive,on,3,3,0.03582218664463153,0.041274397899245474,0.004807001258146254,0.043099223646539925,0.04490178340656498
