dataset,phase,project,run_id,run_name,state,loss_type,k,loss_label,lr,margin,scale,eer_final,eer_epoch1,eer_drop,eer_stability,diverged,n_points,sweep_url,score,toxic
LA-CDIP,coarse,CaVL-Doc_LA-CDIP_InternVL3-2B_Sweeps,mf47hh17,LA-CDIP_InternVL3-2B_triplet_20260210-055429,finished,triplet,3,triplet_k3,1.4388138602600424e-05,0.6773900654272133,64.0,0.007462686567164179,0.017879353233830865,0.010416666666666685,0.0049104637582399226,False,3,https://wandb.ai/jpcosta1990-university-of-brasilia/CaVL-Doc_LA-CDIP_InternVL3-2B_Sweeps/runs/mf47hh17,0.007164816992070759,False
LA-CDIP,coarse,CaVL-Doc_LA-CDIP_InternVL3-2B_Sweeps,klyqw2kv,LA-CDIP_InternVL3-2B_triplet_20260210-075403,finished,triplet,3,triplet_k3,2.9878182019693355e-06,0.8780770869582873,64.0,0.017879353233830865,0.017879353233830865,0.0,0.0,False,3,https://wandb.ai/jpcosta1990-university-of-brasilia/CaVL-Doc_LA-CDIP_InternVL3-2B_Sweeps/runs/klyqw2kv,0.017879353233830865,False
LA-CDIP,coarse,CaVL-Doc_LA-CDIP_InternVL3-2B_Sweeps,d8ryqhu3,LA-CDIP_InternVL3-2B_triplet_20260210-095336,finished,triplet,3,triplet_k3,1.051990243497364e-06,0.31749526148965485,64.0,0.010416666666666685,0.017879353233830865,0.00746268656716418,0.0035179441850076995,False,3,https://wandb.ai/jpcosta1990-university-of-brasilia/CaVL-Doc_LA-CDIP_InternVL3-2B_Sweeps/runs/d8ryqhu3,0.010203267568092294,False
LA-CDIP,coarse,CaVL-Doc_LA-CDIP_InternVL3-2B_Sweeps,vbv64pya,LA-CDIP_InternVL3-2B_triplet_20260210-105322,finished,triplet,3,triplet_k3,4.576875968872885e-06,0.4209459834760111,64.0,0.007462686567164179,0.017879353233830865,0.010416666666666685,0.0049104637582399226,False,3,https://wandb.ai/jpcosta1990-university-of-brasilia/CaVL-Doc_LA-CDIP_InternVL3-2B_Sweeps/runs/vbv64pya,0.007164816992070759,False
LA-CDIP,coarse,CaVL-Doc_LA-CDIP_InternVL3-2B_Sweeps,dikwutz4,LA-CDIP_InternVL3-2B_triplet_20260210-115308,finished,triplet,3,triplet_k3,8.90781961237544e-06,0.9953982014163631,64.0,0.017879353233830865,0.017879353233830865,0.0,0.0,False,3,https://wandb.ai/jpcosta1990-university-of-brasilia/CaVL-Doc_LA-CDIP_InternVL3-2B_Sweeps/runs/dikwutz4,0.017879353233830865,False
LA-CDIP,coarse,CaVL-Doc_LA-CDIP_InternVL3-2B_Sweeps,si4kfwgk,LA-CDIP_InternVL3-2B_triplet_20260210-125256,finished,triplet,3,triplet_k3,1.1555121940536004e-06,0.10828087490103191,64.0,0.017879353233830865,0.017879353233830865,0.0,0.0,False,3,https://wandb.ai/jpcosta1990-university-of-brasilia/CaVL-Doc_LA-CDIP_InternVL3-2B_Sweeps/runs/si4kfwgk,0.017879353233830865,False
LA-CDIP,coarse,CaVL-Doc_LA-CDIP_InternVL3-2B_Sweeps,yhkkqjxi,LA-CDIP_InternVL3-2B_subcenter_arcface_20260210-135252,finished,subcenter_arcface,4,subcenter_arcface_k4,6.289716063774996e-06,0.3524286673734214,32.0,0.017879353233830865,0.017879353233830865,0.0,0.0035179441850076995,False,3,https://wandb.ai/jpcosta1990-university-of-brasilia/CaVL-Doc_LA-CDIP_InternVL3-2B_Sweeps/runs/yhkkqjxi,0.021397297418838564,False
LA-CDIP,coarse,CaVL-Doc_LA-CDIP_InternVL3-2B_Sweeps,ng141bo3,LA-CDIP_InternVL3-2B_subcenter_arcface_20260210-145241,finished,subcenter_arcface,1,subcenter_arcface_k1,2.4471018951367863e-05,0.2365284523281113,32.0,0.017879353233830865,0.017879353233830865,0.0,0.0,False,3,https://wandb.ai/jpcosta1990-university-of-brasilia/CaVL-Doc_LA-CDIP_InternVL3-2B_Sweeps/runs/ng141bo3,0.017879353233830865,False
LA-CDIP,coarse,CaVL-Doc_LA-CDIP_InternVL3-2B_Sweeps,1tl5pabh,LA-CDIP_InternVL3-2B_subcenter_arcface_20260210-165212,finished,subcenter_arcface,4,subcenter_arcface_k4,6.681777997975487e-06,0.3724359017275719,32.0,0.017879353233830865,0.017879353233830865,0.0,0.0,False,3,https://wandb.ai/jpcosta1990-university-of-brasilia/CaVL-Doc_LA-CDIP_InternVL3-2B_Sweeps/runs/1tl5pabh,0.017879353233830865,False
LA-CDIP,coarse,CaVL-Doc_LA-CDIP_InternVL3-2B_Sweeps,oy9nwbpv,LA-CDIP_InternVL3-2B_subcenter_arcface_20260210-185150,finished,subcenter_arcface,1,subcenter_arcface_k1,4.53912945215364e-06,0.33155952201597516,32.0,0.010416666666666685,0.017879353233830865,0.00746268656716418,0.0035179441850076995,False,3,https://wandb.ai/jpcosta1990-university-of-brasilia/CaVL-Doc_LA-CDIP_InternVL3-2B_Sweeps/runs/oy9nwbpv,0.010203267568092294,False
