dataset,phase,project,run_id,run_name,state,loss_type,k,loss_label,lr,margin,scale,eer_final,eer_epoch1,eer_drop,eer_stability,diverged,n_points,sweep_url,score,toxic
RVL-CDIP,coarse,CaVL-Doc_RVL-CDIP_InternVL3-2B_Sweeps,emkxhcg0,RVL-CDIP_InternVL3-2B_subcenter_arcface_20260222-040635,finished,subcenter_arcface,1,subcenter_arcface_k1,2.6990374195950736e-05,0.3660258008077575,32.0,0.3680926916221034,0.3745861981156099,0.006493506493506496,0.003061068316824882,False,3,https://wandb.ai/jpcosta1990-university-of-brasilia/CaVL-Doc_RVL-CDIP_InternVL3-2B_Sweeps/runs/emkxhcg0,0.3679070066921751,True
RVL-CDIP,coarse,CaVL-Doc_RVL-CDIP_InternVL3-2B_Sweeps,7zgbnbgm,RVL-CDIP_InternVL3-2B_subcenter_arcface_20260222-050741,finished,subcenter_arcface,1,subcenter_arcface_k1,0.00016278388419940556,0.5592654233165844,32.0,0.42997198879551823,0.45276292335115864,0.022790934555640407,0.022728927121670385,True,3,https://wandb.ai/jpcosta1990-university-of-brasilia/CaVL-Doc_RVL-CDIP_InternVL3-2B_Sweeps/runs/7zgbnbgm,0.44130544863936844,True
RVL-CDIP,coarse,CaVL-Doc_RVL-CDIP_InternVL3-2B_Sweeps,acacvgfj,RVL-CDIP_InternVL3-2B_subcenter_arcface_20260222-060836,finished,subcenter_arcface,1,subcenter_arcface_k1,0.0004506570096127068,0.1585669844545475,32.0,0.446524064171123,0.491851285968933,0.04532722179781001,0.02326746688465952,True,3,https://wandb.ai/jpcosta1990-university-of-brasilia/CaVL-Doc_RVL-CDIP_InternVL3-2B_Sweeps/runs/acacvgfj,0.4471279201568775,True
RVL-CDIP,coarse,CaVL-Doc_RVL-CDIP_InternVL3-2B_Sweeps,vfap7kz4,RVL-CDIP_InternVL3-2B_subcenter_arcface_20260222-070940,finished,subcenter_arcface,2,subcenter_arcface_k2,2.2521805479641218e-05,0.5995971879141353,32.0,0.3582887700534759,0.3582887700534759,0.0,0.01330679429064796,True,3,https://wandb.ai/jpcosta1990-university-of-brasilia/CaVL-Doc_RVL-CDIP_InternVL3-2B_Sweeps/runs/vfap7kz4,0.3715955643441239,True
RVL-CDIP,coarse,CaVL-Doc_RVL-CDIP_InternVL3-2B_Sweeps,wsina6d8,RVL-CDIP_InternVL3-2B_subcenter_arcface_20260222-081030,finished,subcenter_arcface,2,subcenter_arcface_k2,8.985687041440005e-06,0.46757267940149305,32.0,0.3843901196842373,0.4006875477463713,0.016297428062133967,0.009587019499424611,False,3,https://wandb.ai/jpcosta1990-university-of-brasilia/CaVL-Doc_RVL-CDIP_InternVL3-2B_Sweeps/runs/wsina6d8,0.3858284251525949,True
RVL-CDIP,coarse,CaVL-Doc_RVL-CDIP_InternVL3-2B_Sweeps,3sd2qbhh,RVL-CDIP_InternVL3-2B_subcenter_arcface_20260222-091122,finished,subcenter_arcface,2,subcenter_arcface_k2,2.1478044298911963e-06,0.5027315900125866,32.0,0.3745861981156099,0.39088362617774386,0.016297428062133967,0.0066989938394213045,False,3,https://wandb.ai/jpcosta1990-university-of-brasilia/CaVL-Doc_RVL-CDIP_InternVL3-2B_Sweeps/runs/3sd2qbhh,0.3731364779239642,True
RVL-CDIP,coarse,CaVL-Doc_RVL-CDIP_InternVL3-2B_Sweeps,ityvh5pe,RVL-CDIP_InternVL3-2B_subcenter_arcface_20260222-101230,finished,subcenter_arcface,2,subcenter_arcface_k2,2.926051690573005e-05,0.5981333908335975,32.0,0.3680926916221034,0.3843901196842373,0.016297428062133912,0.006698993839421284,False,3,https://wandb.ai/jpcosta1990-university-of-brasilia/CaVL-Doc_RVL-CDIP_InternVL3-2B_Sweeps/runs/ityvh5pe,0.36664297143045776,True
RVL-CDIP,coarse,CaVL-Doc_RVL-CDIP_InternVL3-2B_Sweeps,js6a0g7w,RVL-CDIP_InternVL3-2B_subcenter_arcface_20260222-111343,finished,subcenter_arcface,2,subcenter_arcface_k2,0.00018469033216684725,0.5851471082581957,32.0,0.4625668449197861,0.4625668449197861,0.0,0.021483223504690292,True,3,https://wandb.ai/jpcosta1990-university-of-brasilia/CaVL-Doc_RVL-CDIP_InternVL3-2B_Sweeps/runs/js6a0g7w,0.4840500684244764,True
RVL-CDIP,coarse,CaVL-Doc_RVL-CDIP_InternVL3-2B_Sweeps,lpmye83i,RVL-CDIP_InternVL3-2B_subcenter_arcface_20260222-121446,finished,subcenter_arcface,2,subcenter_arcface_k2,7.003217079549395e-06,0.5642087253123069,32.0,0.3973771326712503,0.3973771326712503,0.0,0.007682681265756575,True,3,https://wandb.ai/jpcosta1990-university-of-brasilia/CaVL-Doc_RVL-CDIP_InternVL3-2B_Sweeps/runs/lpmye83i,0.40505981393700685,True
RVL-CDIP,coarse,CaVL-Doc_RVL-CDIP_InternVL3-2B_Sweeps,2zft0htg,RVL-CDIP_InternVL3-2B_subcenter_arcface_20260222-131537,finished,subcenter_arcface,2,subcenter_arcface_k2,2.952291753873779e-06,0.4296839820693563,32.0,0.3745861981156099,0.3745861981156099,0.0,0.009587019499424592,True,3,https://wandb.ai/jpcosta1990-university-of-brasilia/CaVL-Doc_RVL-CDIP_InternVL3-2B_Sweeps/runs/2zft0htg,0.3841732176150345,True
RVL-CDIP,coarse,CaVL-Doc_RVL-CDIP_InternVL3-2B_Sweeps,gf0ybgog,RVL-CDIP_InternVL3-2B_subcenter_arcface_20260222-141636,finished,subcenter_arcface,2,subcenter_arcface_k2,1.2552126912817843e-05,0.3725485287600312,32.0,0.3745861981156099,0.3973771326712503,0.022790934555640407,0.009334559933495204,False,3,https://wandb.ai/jpcosta1990-university-of-brasilia/CaVL-Doc_RVL-CDIP_InternVL3-2B_Sweeps/runs/gf0ybgog,0.3725252907712849,True
RVL-CDIP,coarse,CaVL-Doc_RVL-CDIP_InternVL3-2B_Sweeps,8krisktl,RVL-CDIP_InternVL3-2B_subcenter_arcface_20260222-151742,finished,subcenter_arcface,2,subcenter_arcface_k2,6.052084348028972e-06,0.2672475574226718,32.0,0.39088362617774386,0.39088362617774386,0.0,0.010743749582581431,True,3,https://wandb.ai/jpcosta1990-university-of-brasilia/CaVL-Doc_RVL-CDIP_InternVL3-2B_Sweeps/runs/8krisktl,0.4016273757603253,True
RVL-CDIP,coarse,CaVL-Doc_RVL-CDIP_InternVL3-2B_Sweeps,ahvxg2dz,RVL-CDIP_InternVL3-2B_subcenter_arcface_20260222-161842,finished,subcenter_arcface,2,subcenter_arcface_k2,2.3489946319947803e-05,0.434120284884832,32.0,0.3615991851285969,0.3745861981156099,0.012987012987012991,0.019174038998849195,True,3,https://wandb.ai/jpcosta1990-university-of-brasilia/CaVL-Doc_RVL-CDIP_InternVL3-2B_Sweeps/runs/ahvxg2dz,0.3742797176339396,True
RVL-CDIP,coarse,CaVL-Doc_RVL-CDIP_InternVL3-2B_Sweeps,ck0tt4fx,RVL-CDIP_InternVL3-2B_subcenter_arcface_20260222-171944,finished,subcenter_arcface,2,subcenter_arcface_k2,1.0155896801010982e-06,0.4518836333773205,32.0,0.3745861981156099,0.39088362617774386,0.016297428062133967,0.007682681265756575,False,3,https://wandb.ai/jpcosta1990-university-of-brasilia/CaVL-Doc_RVL-CDIP_InternVL3-2B_Sweeps/runs/ck0tt4fx,0.37412016535029946,True
RVL-CDIP,coarse,CaVL-Doc_RVL-CDIP_InternVL3-2B_Sweeps,pxmxoiy8,RVL-CDIP_InternVL3-2B_subcenter_arcface_20260222-182101,finished,subcenter_arcface,2,subcenter_arcface_k2,1.0523615366904935e-06,0.4966108566086165,32.0,0.3745861981156099,0.39088362617774386,0.016297428062133967,0.007682681265756575,False,3,https://wandb.ai/jpcosta1990-university-of-brasilia/CaVL-Doc_RVL-CDIP_InternVL3-2B_Sweeps/runs/pxmxoiy8,0.37412016535029946,True
RVL-CDIP,coarse,CaVL-Doc_RVL-CDIP_InternVL3-2B_Sweeps,5qrqlkeq,RVL-CDIP_InternVL3-2B_subcenter_arcface_20260222-192213,finished,subcenter_arcface,2,subcenter_arcface_k2,0.0009449462724047008,0.1087892933341474,32.0,0.4766997708174179,0.4766997708174179,0.0,0.019623912771594382,True,3,https://wandb.ai/jpcosta1990-university-of-brasilia/CaVL-Doc_RVL-CDIP_InternVL3-2B_Sweeps/runs/5qrqlkeq,0.49632368358901224,True
RVL-CDIP,coarse,CaVL-Doc_RVL-CDIP_InternVL3-2B_Sweeps,c6vxieba,RVL-CDIP_InternVL3-2B_subcenter_arcface_20260222-202307,finished,subcenter_arcface,2,subcenter_arcface_k2,1.0164363942453636e-06,0.5836764702154141,32.0,0.3745861981156099,0.39088362617774386,0.016297428062133967,0.007682681265756575,False,3,https://wandb.ai/jpcosta1990-university-of-brasilia/CaVL-Doc_RVL-CDIP_InternVL3-2B_Sweeps/runs/c6vxieba,0.37412016535029946,True
RVL-CDIP,coarse,CaVL-Doc_RVL-CDIP_InternVL3-2B_Sweeps,ik0muizu,RVL-CDIP_InternVL3-2B_subcenter_arcface_20260222-212413,finished,subcenter_arcface,2,subcenter_arcface_k2,1.0088104520637411e-06,0.5504388851944226,32.0,0.3745861981156099,0.39088362617774386,0.016297428062133967,0.007682681265756575,False,3,https://wandb.ai/jpcosta1990-university-of-brasilia/CaVL-Doc_RVL-CDIP_InternVL3-2B_Sweeps/runs/ik0muizu,0.37412016535029946,True
RVL-CDIP,coarse,CaVL-Doc_RVL-CDIP_InternVL3-2B_Sweeps,12d0ai6i,RVL-CDIP_InternVL3-2B_subcenter_arcface_20260222-222512,finished,subcenter_arcface,3,subcenter_arcface_k3,7.03025907498748e-05,0.46816390171321687,32.0,0.39088362617774386,0.39088362617774386,0.0,0.013654336803151208,True,3,https://wandb.ai/jpcosta1990-university-of-brasilia/CaVL-Doc_RVL-CDIP_InternVL3-2B_Sweeps/runs/12d0ai6i,0.40453796298089506,True
