run_id,run_name,loss_type,lr,margin,scale,k,eer_final,eer_epoch1,eer_drop,eer_stability,diverged,n_epochs
5yctvfj4,LA-CDIP_InternVL3-2B_subcenter_arcface_20260208-235547,subcenter_arcface,6.576665789827623e-06,0.38095532604182614,32.0,2,0.017879353233830865,0.017879353233830865,0.0,0.003231438073822533,True,4
pcedoms5,LA-CDIP_InternVL3-2B_subcenter_arcface_20260209-011518,subcenter_arcface,3.109106188993004e-05,0.43413743161311,32.0,2,0.017879353233830865,0.06110074626865672,0.043221393034825854,0.016792887313684043,False,5
7qjnwj1s,LA-CDIP_InternVL3-2B_subcenter_arcface_20260209-025610,subcenter_arcface,0.0006824184328865355,0.5521495016785261,32.0,1,0.29213308457711445,0.3308457711442786,0.038712686567164145,0.022742283080027095,True,5
vxqzmzx6,LA-CDIP_InternVL3-2B_subcenter_arcface_20260209-043526,subcenter_arcface,1.3400387155321323e-05,0.4205394033813069,32.0,3,0.025342039800995045,0.025342039800995045,0.0,0.014612928878746559,False,4
yv0fonj2,LA-CDIP_InternVL3-2B_subcenter_arcface_20260209-055459,subcenter_arcface,3.746206035626117e-05,0.2806165751702111,32.0,3,0.017879353233830865,0.06110074626865672,0.043221393034825854,0.015669173777077897,False,5
zkd1jw0p,LA-CDIP_InternVL3-2B_contrastive_20260209-075854,contrastive,7.70006982326103e-05,0.6793862695168865,64.0,3,0.05363805970149253,0.05363805970149253,0.0,6.938893903907228e-18,False,3
vpvw28rb,LA-CDIP_InternVL3-2B_contrastive_20260209-085839,contrastive,0.00019358407185151807,0.4303884551179401,64.0,3,0.05363805970149253,0.06110074626865672,0.007462686567164187,0.02721526192318359,True,3
ham4lo5b,LA-CDIP_InternVL3-2B_contrastive_20260209-095823,contrastive,1.6284560481181613e-05,0.26030524822907597,64.0,3,0.04322139303482585,0.04322139303482585,0.0,0.011946352128255322,True,3
fk7cxono,LA-CDIP_InternVL3-2B_contrastive_20260209-105806,contrastive,5.742720423216151e-06,0.8962859244994208,64.0,3,0.017879353233830865,0.017879353233830865,0.0,0.010633186749956438,True,3
5y0kr37d,LA-CDIP_InternVL3-2B_contrastive_20260209-115750,contrastive,0.00011718134711036706,0.15532069488977393,64.0,3,0.04617537313432836,0.06405472636815922,0.017879353233830858,0.007825627654538399,False,3
0zgy5pyt,LA-CDIP_InternVL3-2B_contrastive_20260209-125735,contrastive,3.8682411097026685e-06,0.920568772914502,64.0,3,0.017879353233830865,0.025342039800995045,0.00746268656716418,0.007332347716373526,False,3
o29znfy4,LA-CDIP_InternVL3-2B_contrastive_20260209-135725,contrastive,0.0003891317786700652,0.1528032156357047,64.0,3,0.06405472636815922,0.07898009950248758,0.01492537313432836,0.03635334587650661,False,3
wx09xsem,LA-CDIP_InternVL3-2B_contrastive_20260209-145716,contrastive,0.0002566965468751349,0.9148164318694146,64.0,3,0.09390547263681594,0.1654228855721393,0.07151741293532336,0.029408037282049652,False,3
ctq8j5vq,LA-CDIP_InternVL3-2B_contrastive_20260209-155702,contrastive,0.00044438146294573056,0.7281616519246334,64.0,3,0.08644278606965175,0.08644278606965175,0.0,0.04101315902462941,True,3
j6vkrh7g,LA-CDIP_InternVL3-2B_contrastive_20260209-165652,contrastive,3.031961321717606e-06,0.9703075918642486,64.0,3,0.007462686567164179,0.025342039800995045,0.017879353233830865,0.007332347716373549,False,3
g3ip00ix,LA-CDIP_InternVL3-2B_contrastive_20260209-175724,contrastive,1.8761314359772004e-06,0.9197592241528468,64.0,3,0.007462686567164179,0.025342039800995045,0.017879353233830865,0.011684952140414004,False,3
