run_id,run_name,loss_type,lr,margin,scale,k,eer_final,eer_epoch1,eer_drop,eer_stability,diverged,n_epochs
iids1f9e,RVL-CDIP_InternVL3-2B_subcenter_arcface_20260221-155412,subcenter_arcface,1.2157708143666018e-05,0.5667628839840665,32.0,1,0.3810797046091164,0.3810797046091164,0.0,0.0181236428571971,True,3
opebdhx9,RVL-CDIP_InternVL3-2B_subcenter_arcface_20260221-165509,subcenter_arcface,8.370863552907608e-05,0.5399759911552094,32.0,1,0.40718105423987777,0.40718105423987777,0.0,0.02942734685558844,True,3
cehketup,RVL-CDIP_InternVL3-2B_subcenter_arcface_20260221-175557,subcenter_arcface,1.3337165286836895e-05,0.29867760466094684,32.0,1,0.32900432900432897,0.40718105423987777,0.0781767252355488,0.0324973940245495,False,3
i9pqzao3,RVL-CDIP_InternVL3-2B_subcenter_arcface_20260221-185701,subcenter_arcface,3.871022909858936e-05,0.341986322531729,32.0,1,0.31920040743570155,0.3680926916221034,0.048892284186401846,0.02230874540177613,False,3
upatmdqy,RVL-CDIP_InternVL3-2B_subcenter_arcface_20260221-195800,subcenter_arcface,3.724633292745776e-05,0.28578553052529276,32.0,1,0.29322638146167557,0.3745861981156099,0.08135981665393432,0.033223478452630475,False,3
2e0agpsb,RVL-CDIP_InternVL3-2B_subcenter_arcface_20260221-205900,subcenter_arcface,1.616161712458029e-05,0.37112103621973136,32.0,1,0.34199134199134196,0.41367456073338427,0.07168321874204231,0.02942734685558846,False,3
ym32stog,RVL-CDIP_InternVL3-2B_subcenter_arcface_20260221-220016,subcenter_arcface,2.3616219396780004e-06,0.21933225379575308,32.0,1,0.3680926916221034,0.3680926916221034,0.0,0.007682681265756549,False,3
4klyv9r4,RVL-CDIP_InternVL3-2B_subcenter_arcface_20260221-230108,subcenter_arcface,0.0003638007715366325,0.2568907872806627,32.0,1,0.4462694168576522,0.491851285968933,0.045581869111280815,0.030804490430736936,False,3
hxfggcjp,RVL-CDIP_InternVL3-2B_subcenter_arcface_20260222-000218,subcenter_arcface,2.8078656776446215e-05,0.3405702288128847,32.0,1,0.3517952635599695,0.3680926916221034,0.016297428062133912,0.007682681265756549,False,3
c1d15k9g,RVL-CDIP_InternVL3-2B_subcenter_arcface_20260222-010323,subcenter_arcface,1.4419291476230612e-05,0.21510024804826025,32.0,1,0.31920040743570155,0.41367456073338427,0.09447415329768272,0.03857680345889494,False,3
l9jbd5ea,RVL-CDIP_InternVL3-2B_subcenter_arcface_20260222-020441,subcenter_arcface,9.590487382226274e-06,0.284588099909583,32.0,1,0.3517952635599695,0.39088362617774386,0.039088362617774375,0.023240510758438034,False,3
cbbcehaf,RVL-CDIP_InternVL3-2B_subcenter_arcface_20260222-030537,subcenter_arcface,1.29085880461141e-05,0.15990815449712517,32.0,1,0.32900432900432897,0.39088362617774386,0.06187929717341489,0.03270249456571255,False,3
emkxhcg0,RVL-CDIP_InternVL3-2B_subcenter_arcface_20260222-040635,subcenter_arcface,2.6990374195950736e-05,0.3660258008077575,32.0,1,0.3680926916221034,0.3745861981156099,0.006493506493506496,0.003061068316824882,False,3
7zgbnbgm,RVL-CDIP_InternVL3-2B_subcenter_arcface_20260222-050741,subcenter_arcface,0.00016278388419940556,0.5592654233165844,32.0,1,0.42997198879551823,0.45276292335115864,0.022790934555640407,0.022728927121670385,True,3
acacvgfj,RVL-CDIP_InternVL3-2B_subcenter_arcface_20260222-060836,subcenter_arcface,0.0004506570096127068,0.1585669844545475,32.0,1,0.446524064171123,0.491851285968933,0.04532722179781001,0.02326746688465952,True,3
vfap7kz4,RVL-CDIP_InternVL3-2B_subcenter_arcface_20260222-070940,subcenter_arcface,2.2521805479641218e-05,0.5995971879141353,32.0,2,0.3582887700534759,0.3582887700534759,0.0,0.01330679429064796,True,3
wsina6d8,RVL-CDIP_InternVL3-2B_subcenter_arcface_20260222-081030,subcenter_arcface,8.985687041440005e-06,0.46757267940149305,32.0,2,0.3843901196842373,0.4006875477463713,0.016297428062133967,0.009587019499424611,False,3
3sd2qbhh,RVL-CDIP_InternVL3-2B_subcenter_arcface_20260222-091122,subcenter_arcface,2.1478044298911963e-06,0.5027315900125866,32.0,2,0.3745861981156099,0.39088362617774386,0.016297428062133967,0.0066989938394213045,False,3
ityvh5pe,RVL-CDIP_InternVL3-2B_subcenter_arcface_20260222-101230,subcenter_arcface,2.926051690573005e-05,0.5981333908335975,32.0,2,0.3680926916221034,0.3843901196842373,0.016297428062133912,0.006698993839421284,False,3
js6a0g7w,RVL-CDIP_InternVL3-2B_subcenter_arcface_20260222-111343,subcenter_arcface,0.00018469033216684725,0.5851471082581957,32.0,2,0.4625668449197861,0.4625668449197861,0.0,0.021483223504690292,True,3
lpmye83i,RVL-CDIP_InternVL3-2B_subcenter_arcface_20260222-121446,subcenter_arcface,7.003217079549395e-06,0.5642087253123069,32.0,2,0.3973771326712503,0.3973771326712503,0.0,0.007682681265756575,True,3
2zft0htg,RVL-CDIP_InternVL3-2B_subcenter_arcface_20260222-131537,subcenter_arcface,2.952291753873779e-06,0.4296839820693563,32.0,2,0.3745861981156099,0.3745861981156099,0.0,0.009587019499424592,True,3
